epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.131,1.73714,5.95115,1.04261,0.65637,0.40353,0.39028,0.24378,1.44755,2.22864,0.90614,0.0697778,0.00262802,0.00262802
2,229.684,1.5278,2.42145,0.91469,0.46991,0.5518,0.44632,0.27893,1.39218,1.83362,0.87861,0.0390849,0.00526848,0.00526848
3,528.671,1.41241,1.98032,0.86755,0.5247,0.54226,0.55749,0.3698,1.3045,1.48063,0.83361,0.00836563,0.00788254,0.00788254
4,614.965,1.4188,2.05804,0.84995,0.59935,0.62619,0.59771,0.38615,1.32349,1.8016,0.86013,0.0078812,0.0078812,0.0078812
5,694.741,1.38008,1.75447,0.85216,0.7168,0.5418,0.61625,0.39977,1.30489,1.63059,0.85601,0.0078416,0.0078416,0.0078416
6,846.276,1.37864,1.66001,0.824,0.50799,0.70537,0.60348,0.3928,1.34425,1.51593,0.83719,0.007802,0.007802,0.007802
7,947.951,1.36463,1.55051,0.81493,0.52799,0.77101,0.69602,0.4538,1.3263,1.32724,0.82847,0.0077624,0.0077624,0.0077624
8,1019.6,1.31841,1.46882,0.77299,0.64583,0.67286,0.67014,0.43032,1.32757,1.45036,0.81478,0.0077228,0.0077228,0.0077228
9,1097.19,1.33955,1.35354,0.796,0.58935,0.77963,0.68559,0.44882,1.27784,1.23516,0.81008,0.0076832,0.0076832,0.0076832
10,1302.52,1.32984,1.33472,0.80377,0.57315,0.77719,0.67504,0.43793,1.26538,1.23443,0.81677,0.0076436,0.0076436,0.0076436
11,1355.93,1.29955,1.29829,0.79275,0.5982,0.71507,0.70048,0.45564,1.27726,1.25273,0.81,0.007604,0.007604,0.007604
12,1430.78,1.26265,1.20677,0.74854,0.62271,0.79049,0.71558,0.46755,1.25613,1.18041,0.79804,0.0075644,0.0075644,0.0075644
13,1551.25,1.24366,1.18776,0.76933,0.57275,0.82615,0.71649,0.474,1.26203,1.16356,0.81385,0.0075248,0.0075248,0.0075248
14,1617.64,1.29636,1.2595,0.77826,0.63034,0.75419,0.70519,0.44972,1.36591,1.2597,0.85345,0.0074852,0.0074852,0.0074852
15,1777.48,1.27878,1.14774,0.76773,0.60008,0.782,0.7116,0.47985,1.22666,1.14563,0.79968,0.0074456,0.0074456,0.0074456
16,1895.25,1.22593,1.07272,0.75602,0.67445,0.76998,0.73729,0.50093,1.2268,1.13749,0.80151,0.007406,0.007406,0.007406
17,1982.49,1.21119,1.14674,0.74987,0.59427,0.78197,0.71335,0.45912,1.26397,1.23365,0.81246,0.0073664,0.0073664,0.0073664
18,2027.03,1.23094,1.0688,0.76497,0.61541,0.81499,0.71746,0.46928,1.25991,1.15363,0.80753,0.0073268,0.0073268,0.0073268
19,2104.6,1.24726,1.09563,0.7598,0.62436,0.76159,0.72259,0.46983,1.28522,1.25908,0.81251,0.0072872,0.0072872,0.0072872
20,2191.02,1.21982,1.10034,0.75543,0.54882,0.81899,0.70603,0.46626,1.23947,1.16968,0.79556,0.0072476,0.0072476,0.0072476
21,2258.33,1.22891,1.0397,0.7423,0.58687,0.76537,0.68826,0.45138,1.26931,1.18768,0.80972,0.007208,0.007208,0.007208
22,2375.41,1.1918,1.09807,0.73658,0.64848,0.79503,0.73227,0.48387,1.27084,1.10861,0.81786,0.0071684,0.0071684,0.0071684
23,2413.59,1.21997,1.04306,0.74624,0.63053,0.84048,0.74307,0.4863,1.28384,1.04485,0.81738,0.0071288,0.0071288,0.0071288
24,2473.01,1.21299,1.02277,0.75855,0.68773,0.78245,0.76389,0.50544,1.24,1.0642,0.80279,0.0070892,0.0070892,0.0070892
25,2623,1.17944,0.98529,0.72357,0.66007,0.79991,0.74284,0.50567,1.2654,1.07585,0.81616,0.0070496,0.0070496,0.0070496
26,2748.4,1.19163,1.01552,0.75068,0.64109,0.85347,0.73178,0.48022,1.30545,1.12998,0.83198,0.00701,0.00701,0.00701
27,2872.96,1.20083,1.02886,0.74713,0.62197,0.79993,0.72571,0.4824,1.25866,1.0677,0.79959,0.0069704,0.0069704,0.0069704
28,3032.4,1.16903,0.97331,0.74716,0.64739,0.78134,0.73365,0.48182,1.27196,1.08188,0.80893,0.0069308,0.0069308,0.0069308
29,3176.24,1.16988,0.96672,0.73573,0.64143,0.79356,0.74907,0.49214,1.25189,1.05078,0.80136,0.0068912,0.0068912,0.0068912
30,3254.04,1.15064,0.94719,0.73303,0.6382,0.78848,0.73288,0.49525,1.21314,1.0851,0.7812,0.0068516,0.0068516,0.0068516
31,3353.36,1.18101,0.97196,0.74244,0.68426,0.79901,0.75817,0.51481,1.18347,1.06421,0.78056,0.006812,0.006812,0.006812
32,3510.46,1.14814,0.98595,0.73436,0.61971,0.82943,0.76371,0.51412,1.22087,1.01946,0.79813,0.0067724,0.0067724,0.0067724
33,3623.86,1.17088,0.97483,0.73524,0.65796,0.83438,0.75541,0.50315,1.23368,0.99561,0.79557,0.0067328,0.0067328,0.0067328
34,3741.89,1.1283,0.91253,0.72253,0.6637,0.80692,0.74459,0.4965,1.21961,1.02367,0.78925,0.0066932,0.0066932,0.0066932
35,3892,1.20284,0.97973,0.74245,0.6801,0.79346,0.75507,0.49782,1.23751,1.07456,0.79477,0.0066536,0.0066536,0.0066536
36,3966.55,1.14041,0.88993,0.71154,0.6505,0.74665,0.74432,0.49044,1.26422,1.09398,0.81672,0.006614,0.006614,0.006614
37,4073.08,1.12459,0.92704,0.7224,0.67767,0.76968,0.75007,0.49984,1.26102,1.10821,0.81594,0.0065744,0.0065744,0.0065744
38,4157.51,1.10545,0.8894,0.71317,0.68513,0.80533,0.74232,0.50208,1.21115,1.07498,0.78355,0.0065348,0.0065348,0.0065348
39,4280.64,1.08766,0.86033,0.72733,0.68055,0.7512,0.72414,0.4812,1.2112,1.1114,0.78866,0.0064952,0.0064952,0.0064952
40,4402.6,1.11246,0.90338,0.72435,0.65331,0.84675,0.76584,0.50545,1.23009,1.01348,0.78986,0.0064556,0.0064556,0.0064556
41,4464.65,1.10999,0.87216,0.71749,0.70364,0.76436,0.75706,0.50992,1.22345,1.06691,0.80114,0.006416,0.006416,0.006416
42,4625.63,1.09435,0.85439,0.71302,0.66715,0.81747,0.75244,0.50831,1.18464,1.0877,0.77005,0.0063764,0.0063764,0.0063764
43,4723.21,1.10191,0.93171,0.73004,0.67056,0.80521,0.75672,0.49618,1.20515,1.04092,0.79142,0.0063368,0.0063368,0.0063368
44,4890.57,1.11868,0.87799,0.71384,0.65858,0.77597,0.71137,0.48627,1.19727,1.10777,0.78621,0.0062972,0.0062972,0.0062972
45,5071.04,1.08998,0.84753,0.7107,0.68104,0.80144,0.75907,0.50782,1.25922,1.02258,0.80559,0.0062576,0.0062576,0.0062576
46,5263.01,1.09175,0.83766,0.71296,0.69946,0.76735,0.74947,0.51718,1.20813,1.0062,0.78785,0.006218,0.006218,0.006218
47,5427.77,1.08793,0.86268,0.71231,0.63089,0.81767,0.73707,0.49305,1.22063,1.08513,0.78823,0.0061784,0.0061784,0.0061784
48,5652.37,1.06934,0.86569,0.70783,0.6542,0.73296,0.71294,0.46523,1.26448,1.11883,0.81326,0.0061388,0.0061388,0.0061388
49,5797.02,1.07994,0.81074,0.70572,0.70045,0.69576,0.74674,0.4984,1.23902,1.09991,0.80819,0.0060992,0.0060992,0.0060992
50,6013.95,1.08983,0.83392,0.70762,0.70443,0.74527,0.74739,0.48544,1.27832,1.15921,0.81013,0.0060596,0.0060596,0.0060596
