epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.358,1.05967,0.75897,0.70724,0.74454,0.78822,0.80171,0.54473,1.1884,0.93727,0.76475,0.0681353,0.000985507,0.000985507
2,202.224,0.97092,0.66305,0.67474,0.72202,0.80203,0.7915,0.53542,1.19001,0.97035,0.76013,0.0357358,0.00191936,0.00191936
3,337.477,0.96235,0.66681,0.68216,0.72821,0.7858,0.77992,0.52261,1.20438,1.01225,0.77118,0.00326966,0.00278657,0.00278657
4,448.366,1.0536,0.76153,0.69038,0.69771,0.80816,0.78288,0.52592,1.19408,1.01923,0.77958,0.00270015,0.00270015,0.00270015
5,515.541,1.00682,0.72658,0.69472,0.70234,0.82449,0.77837,0.5276,1.228,1.00627,0.78489,0.0026002,0.0026002,0.0026002
6,632.327,1.01299,0.74333,0.68066,0.67409,0.83195,0.7787,0.53479,1.18492,0.9815,0.76496,0.00250025,0.00250025,0.00250025
7,745.183,1.02624,0.72285,0.68089,0.69526,0.81876,0.77226,0.53052,1.19487,0.98761,0.7649,0.0024003,0.0024003,0.0024003
8,806.859,1.03842,0.71853,0.6785,0.71115,0.79407,0.77586,0.52748,1.17918,1.02007,0.76348,0.00230035,0.00230035,0.00230035
9,873.109,0.99919,0.70208,0.67825,0.67517,0.817,0.76799,0.51795,1.22171,1.00155,0.78131,0.0022004,0.0022004,0.0022004
10,1010.65,0.97808,0.68474,0.67798,0.68568,0.79991,0.766,0.52012,1.18902,0.99839,0.77246,0.00210045,0.00210045,0.00210045
11,1056.14,0.99007,0.69291,0.67952,0.69621,0.78432,0.78499,0.52497,1.23082,1.05485,0.78194,0.0020005,0.0020005,0.0020005
12,1118.08,0.9831,0.67674,0.66287,0.68388,0.81047,0.78053,0.52838,1.19412,1.03456,0.77271,0.00190055,0.00190055,0.00190055
13,1357.41,0.97612,0.68645,0.69372,0.70495,0.79502,0.78055,0.52441,1.20125,0.9852,0.7871,0.0018006,0.0018006,0.0018006
14,1418.64,0.95891,0.6912,0.67269,0.70216,0.80938,0.78004,0.53447,1.1841,0.98252,0.77826,0.00170065,0.00170065,0.00170065
15,1561.62,0.96417,0.66603,0.66188,0.6722,0.79901,0.76411,0.51965,1.1674,1.01715,0.77007,0.0016007,0.0016007,0.0016007
16,1733.68,0.9916,0.68932,0.67322,0.72723,0.78325,0.76747,0.53149,1.17965,0.94551,0.76953,0.00150075,0.00150075,0.00150075
17,1813.01,0.94054,0.63153,0.66333,0.71235,0.79063,0.77459,0.53517,1.1894,0.92022,0.77162,0.0014008,0.0014008,0.0014008
18,1873.06,0.93694,0.62869,0.66814,0.69239,0.85339,0.79528,0.55505,1.17168,0.90524,0.76779,0.00130085,0.00130085,0.00130085
19,1980.92,0.96007,0.6402,0.66085,0.72786,0.85443,0.7996,0.55629,1.17238,0.92611,0.77237,0.0012009,0.0012009,0.0012009
20,2076.97,0.92343,0.63301,0.67102,0.71165,0.84731,0.80218,0.553,1.19722,0.94544,0.77761,0.00110095,0.00110095,0.00110095
21,2138.57,0.89447,0.58128,0.65275,0.75342,0.81677,0.80268,0.5483,1.20027,0.9416,0.77674,0.001001,0.001001,0.001001
22,2238.64,0.85948,0.54106,0.65062,0.71627,0.8251,0.78674,0.53947,1.18302,0.9433,0.77271,0.00090105,0.00090105,0.00090105
23,2271.36,0.87276,0.57862,0.65747,0.69425,0.8405,0.78452,0.53755,1.16918,0.97747,0.77067,0.0008011,0.0008011,0.0008011
24,2326.87,0.8783,0.53177,0.66963,0.71825,0.81453,0.78627,0.54522,1.17592,0.95364,0.77105,0.00070115,0.00070115,0.00070115
25,2460.41,0.8631,0.55786,0.64857,0.74351,0.81247,0.79302,0.5476,1.17688,0.93968,0.77334,0.0006012,0.0006012,0.0006012
26,2561.71,0.87094,0.5282,0.65756,0.73155,0.84286,0.80563,0.54782,1.18869,0.93387,0.77675,0.00050125,0.00050125,0.00050125
27,2648.17,0.84313,0.52034,0.6481,0.75603,0.80959,0.79956,0.5457,1.19001,0.92454,0.7755,0.0004013,0.0004013,0.0004013
28,2752.28,0.83924,0.52158,0.65746,0.71778,0.83361,0.80554,0.54986,1.18556,0.92031,0.77327,0.00030135,0.00030135,0.00030135
29,2851.78,0.84785,0.53456,0.66182,0.70639,0.83379,0.80843,0.55574,1.18495,0.92439,0.77281,0.0002014,0.0002014,0.0002014
30,2909.46,0.86843,0.51695,0.64924,0.75968,0.78849,0.80626,0.55169,1.18689,0.92482,0.77243,0.00010145,0.00010145,0.00010145
