epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.186,1.09054,0.83569,0.72097,0.7322,0.79941,0.78117,0.51861,1.19334,1.00645,0.7739,0.0684638,0.00131401,0.00131401
2,166.029,1.03474,0.75895,0.69568,0.70377,0.7734,0.76495,0.51842,1.18398,0.9976,0.7699,0.0364472,0.00263081,0.00263081
3,286.491,0.99234,0.73912,0.69153,0.7098,0.82313,0.7924,0.53278,1.19434,0.96175,0.76939,0.00441403,0.00393094,0.00393094
4,386.356,1.04268,0.77669,0.68617,0.68736,0.81241,0.79796,0.52656,1.20746,1.02001,0.78383,0.00392504,0.00392504,0.00392504
5,453.715,0.99769,0.74669,0.69919,0.70996,0.82171,0.78572,0.5211,1.23364,0.99348,0.78996,0.00390005,0.00390005,0.00390005
6,546.083,0.99492,0.75831,0.68555,0.69449,0.81868,0.7862,0.5237,1.2115,1.00341,0.78794,0.00387506,0.00387506,0.00387506
7,629.924,1.01082,0.72339,0.68696,0.723,0.8085,0.79198,0.5295,1.22607,0.98876,0.78842,0.00385008,0.00385008,0.00385008
8,686.468,1.03575,0.7499,0.68797,0.71792,0.81078,0.78923,0.53235,1.1855,0.98877,0.77069,0.00382509,0.00382509,0.00382509
9,758.955,0.99926,0.70845,0.68153,0.68403,0.83518,0.76587,0.51307,1.16934,0.96663,0.77514,0.0038001,0.0038001,0.0038001
10,878.958,0.98503,0.69932,0.68665,0.69828,0.76722,0.75562,0.50958,1.19397,1.01685,0.78594,0.00377511,0.00377511,0.00377511
11,933.597,0.99066,0.71527,0.68694,0.68408,0.80564,0.76565,0.50741,1.23586,1.02633,0.79476,0.00375013,0.00375013,0.00375013
12,983.036,0.97505,0.69443,0.66935,0.74784,0.77474,0.77493,0.51386,1.22238,1.05554,0.79584,0.00372514,0.00372514,0.00372514
13,1185.11,0.97208,0.72188,0.6969,0.70201,0.81597,0.77863,0.52132,1.24434,1.00885,0.80871,0.00370015,0.00370015,0.00370015
14,1241.65,0.96758,0.71227,0.6806,0.67708,0.77955,0.73505,0.4913,1.23607,1.05758,0.80291,0.00367516,0.00367516,0.00367516
15,1346.98,0.96549,0.72246,0.66848,0.68025,0.79604,0.74766,0.49932,1.20445,1.00606,0.77855,0.00365017,0.00365017,0.00365017
16,1487.05,0.98787,0.71318,0.67954,0.66982,0.80027,0.7527,0.50717,1.21606,1.01026,0.78358,0.00362519,0.00362519,0.00362519
17,1573.85,0.96964,0.68524,0.68257,0.69799,0.78096,0.75692,0.51228,1.20058,0.97269,0.77908,0.0036002,0.0036002,0.0036002
18,1615.54,0.94913,0.67668,0.67612,0.73674,0.80699,0.78216,0.52451,1.21527,1.00819,0.78497,0.00357521,0.00357521,0.00357521
19,1692.21,0.97314,0.68689,0.66897,0.7084,0.81605,0.77315,0.52062,1.2325,1.05771,0.79992,0.00355022,0.00355022,0.00355022
20,1804.66,0.94616,0.6651,0.68233,0.68793,0.81061,0.75037,0.50891,1.22289,1.02406,0.78119,0.00352524,0.00352524,0.00352524
21,1855.2,0.96527,0.67621,0.65969,0.68538,0.8049,0.74052,0.50364,1.22893,1.04793,0.79459,0.00350025,0.00350025,0.00350025
22,1967.99,0.92521,0.62685,0.66029,0.70094,0.80725,0.76038,0.50359,1.23255,1.06478,0.79335,0.00347526,0.00347526,0.00347526
23,2033.16,0.9297,0.66005,0.66024,0.67503,0.80694,0.77082,0.51145,1.23068,1.03574,0.80389,0.00345028,0.00345028,0.00345028
24,2087.03,0.9495,0.69011,0.68519,0.71802,0.74473,0.75537,0.50478,1.23926,1.0391,0.80994,0.00342529,0.00342529,0.00342529
25,2216.57,0.9678,0.7159,0.66613,0.70076,0.81162,0.74994,0.50793,1.22185,0.96214,0.80124,0.0034003,0.0034003,0.0034003
26,2314.81,0.96341,0.67141,0.67896,0.68028,0.80418,0.73843,0.5019,1.21754,1.04491,0.79313,0.00337531,0.00337531,0.00337531
27,2407.97,0.94123,0.68684,0.65765,0.6997,0.76521,0.74917,0.50464,1.20875,1.05655,0.78835,0.00335033,0.00335033,0.00335033
28,2535.96,0.95107,0.66435,0.67223,0.66696,0.83949,0.74349,0.49817,1.21034,1.02939,0.79215,0.00332534,0.00332534,0.00332534
29,2618.84,0.91948,0.64213,0.67276,0.67484,0.8007,0.76019,0.51094,1.21569,0.96894,0.78362,0.00330035,0.00330035,0.00330035
30,2669.67,0.92229,0.63103,0.66339,0.70823,0.79092,0.76495,0.52458,1.20712,1.06239,0.78593,0.00327536,0.00327536,0.00327536
31,2733.85,0.93725,0.67138,0.66847,0.68344,0.77487,0.75855,0.51437,1.234,1.08662,0.80051,0.00325038,0.00325038,0.00325038
32,2806.67,0.87545,0.62322,0.66385,0.66221,0.81242,0.75691,0.5061,1.26291,1.10115,0.81988,0.00322539,0.00322539,0.00322539
33,2889.78,0.91733,0.60866,0.6652,0.65161,0.82878,0.75085,0.51343,1.23103,1.06944,0.80368,0.0032004,0.0032004,0.0032004
34,3021.85,0.93329,0.65282,0.66511,0.68651,0.76283,0.74058,0.50584,1.22152,1.12084,0.80834,0.00317541,0.00317541,0.00317541
35,3133.58,0.91713,0.62957,0.66108,0.68578,0.73212,0.7388,0.50333,1.231,1.11721,0.80458,0.00315042,0.00315042,0.00315042
36,3182.57,0.87443,0.604,0.64858,0.69226,0.7453,0.75401,0.52557,1.19784,1.09578,0.79287,0.00312544,0.00312544,0.00312544
37,3239.66,0.88593,0.60861,0.65279,0.68777,0.80455,0.76736,0.52582,1.21481,1.02656,0.79677,0.00310045,0.00310045,0.00310045
38,3295.91,0.88677,0.60995,0.65128,0.69598,0.76956,0.76111,0.52119,1.21242,1.02588,0.78327,0.00307546,0.00307546,0.00307546
39,3405.87,0.88533,0.58619,0.66135,0.66815,0.79795,0.75341,0.50766,1.23032,1.06826,0.7925,0.00305047,0.00305047,0.00305047
40,3456.86,0.86335,0.58501,0.65,0.69954,0.80132,0.74788,0.50779,1.21698,1.02595,0.7813,0.00302549,0.00302549,0.00302549
41,3492.66,0.87408,0.58229,0.64588,0.69953,0.78438,0.75445,0.51705,1.23671,1.00687,0.79649,0.0030005,0.0030005,0.0030005
42,3567.83,0.85584,0.57543,0.64715,0.7316,0.77218,0.77505,0.53219,1.19826,1.04002,0.78136,0.00297551,0.00297551,0.00297551
43,3649.67,0.84724,0.56847,0.6431,0.7152,0.80593,0.78524,0.52852,1.22473,1.02667,0.80103,0.00295053,0.00295053,0.00295053
44,3757.32,0.87279,0.61162,0.64352,0.71306,0.7752,0.77582,0.5299,1.21655,1.02376,0.79374,0.00292554,0.00292554,0.00292554
45,3830.59,0.83356,0.55963,0.64525,0.69758,0.79781,0.7626,0.52109,1.24485,1.08512,0.80711,0.00290055,0.00290055,0.00290055
46,3939.03,0.83775,0.55797,0.64327,0.7369,0.77619,0.76354,0.52695,1.19946,1.05275,0.79297,0.00287556,0.00287556,0.00287556
47,4003.77,0.84459,0.57471,0.64407,0.74717,0.76735,0.77546,0.53118,1.22337,1.00387,0.80313,0.00285058,0.00285058,0.00285058
48,4116.67,0.84465,0.58628,0.64588,0.712,0.84872,0.76366,0.51928,1.22995,1.03136,0.79665,0.00282559,0.00282559,0.00282559
49,4204.58,0.82688,0.55659,0.63707,0.7175,0.81948,0.77315,0.52554,1.23389,1.13655,0.79499,0.0028006,0.0028006,0.0028006
50,4292.6,0.82934,0.56693,0.64085,0.72151,0.77922,0.76563,0.52261,1.20531,1.07783,0.79056,0.00277561,0.00277561,0.00277561
51,4356.37,0.86245,0.60613,0.63897,0.68722,0.86044,0.77061,0.52805,1.20603,1.0223,0.78648,0.00275063,0.00275063,0.00275063
52,4437.1,0.83188,0.57926,0.63725,0.71784,0.80095,0.78186,0.52969,1.23141,1.0315,0.80021,0.00272564,0.00272564,0.00272564
53,4480.24,0.80577,0.56978,0.63556,0.69501,0.79798,0.78259,0.52528,1.20508,1.02217,0.7925,0.00270065,0.00270065,0.00270065
