epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.968,1.49605,1.06686,0.76624,0.69789,0.75418,0.75592,0.48887,1.54694,1.05878,0.85929,0.067314,0.000164251,0.000164251
2,346.586,1.50008,1.07711,0.75337,0.63469,0.77565,0.70191,0.45114,1.5577,1.16592,0.85358,0.034144,0.000327609,0.000327609
3,613.189,1.45926,1.02593,0.76228,0.63133,0.7669,0.70134,0.45593,1.51671,1.05016,0.84656,0.000970726,0.000487634,0.000487634
4,834.048,1.49268,1.06168,0.75584,0.62775,0.78327,0.70027,0.46399,1.50221,1.11163,0.86513,0.000485001,0.000485001,0.000485001
5,1039.89,1.44712,1.01434,0.75857,0.56402,0.79903,0.69588,0.4575,1.49091,1.12907,0.84321,0.000480002,0.000480002,0.000480002
6,1207.45,1.49682,1.05064,0.77147,0.66383,0.81419,0.73683,0.48431,1.48879,1.07761,0.85601,0.000475002,0.000475002,0.000475002
7,1333.75,1.49672,1.0516,0.77789,0.64906,0.74512,0.72721,0.46022,1.56852,1.18394,0.87178,0.000470003,0.000470003,0.000470003
8,1460.19,1.43409,0.97268,0.75807,0.61718,0.83462,0.72128,0.46361,1.54296,1.05519,0.86422,0.000465003,0.000465003,0.000465003
9,1589.48,1.4134,0.98753,0.77189,0.60487,0.81501,0.72018,0.46486,1.52535,1.08157,0.86404,0.000460004,0.000460004,0.000460004
10,1699.06,1.44257,1.06597,0.77711,0.5724,0.83129,0.71816,0.47732,1.46788,1.10566,0.84805,0.000455005,0.000455005,0.000455005
11,1845.5,1.38037,0.95955,0.74378,0.62646,0.80581,0.73062,0.46531,1.53832,1.10837,0.85868,0.000450005,0.000450005,0.000450005
12,2003.01,1.44794,0.9898,0.78175,0.64806,0.77159,0.72674,0.47921,1.46193,1.07982,0.85537,0.000445006,0.000445006,0.000445006
13,2277.96,1.42069,1.01974,0.75914,0.66676,0.84456,0.72062,0.45343,1.59631,1.02863,0.89065,0.000440006,0.000440006,0.000440006
14,2435.8,1.38245,0.96329,0.74296,0.6447,0.81686,0.73552,0.48668,1.52076,1.00806,0.88637,0.000435007,0.000435007,0.000435007
15,2699.26,1.43163,0.96468,0.76409,0.64173,0.79309,0.72303,0.47911,1.5352,1.04261,0.87766,0.000430007,0.000430007,0.000430007
